date;qty
01.06.2019;203846
02.06.2019;225419
03.06.2019;190306
04.06.2019;211704
05.06.2019;209364
06.06.2019;200732
07.06.2019;203444
08.06.2019;214788
09.06.2019;278071
10.06.2019;136522
11.06.2019;175597
12.06.2019;210506
13.06.2019;138697
14.06.2019;244418
15.06.2019;184753
16.06.2019;164686
17.06.2019;218550
18.06.2019;203014
19.06.2019;202147
20.06.2019;244715
21.06.2019;207703
22.06.2019;206019
23.06.2019;263797
24.06.2019;135002
25.06.2019;145257
26.06.2019;159115
27.06.2019;142140
28.06.2019;193869
29.06.2019;246721
30.06.2019;215747
01.07.2019;281674
02.07.2019;213528
03.07.2019;226771
04.07.2019;336364
05.07.2019;342735
06.07.2019;346141
07.07.2019;338397
08.07.2019;288042
09.07.2019;253461
10.07.2019;330334
11.07.2019;254303
12.07.2019;384038
13.07.2019;261140
14.07.2019;300717
15.07.2019;366269
16.07.2019;351517
17.07.2019;248484
18.07.2019;325564
19.07.2019;309158
20.07.2019;304905
21.07.2019;295591
22.07.2019;337791
23.07.2019;223144
24.07.2019;240981
25.07.2019;290090
26.07.2019;331814
27.07.2019;474950
28.07.2019;292379
29.07.2019;265931
30.07.2019;230988
31.07.2019;312948
01.08.2019;231262
02.08.2019;254858
03.08.2019;321414
04.08.2019;296139
05.08.2019;204853
06.08.2019;202622
07.08.2019;225219
08.08.2019;272599
09.08.2019;304875
10.08.2019;249872
11.08.2019;312707
12.08.2019;199062
13.08.2019;280189
14.08.2019;248375
15.08.2019;358789
16.08.2019;472920
17.08.2019;333077
18.08.2019;419465
19.08.2019;378034
20.08.2019;272357
21.08.2019;283293
22.08.2019;285915
23.08.2019;353667
24.08.2019;309447
25.08.2019;332564
26.08.2019;309969
27.08.2019;289453
28.08.2019;240227
29.08.2019;322353
30.08.2019;278044
31.08.2019;260961
01.09.2019;266229
02.09.2019;301375
03.09.2019;247834
04.09.2019;213923
05.09.2019;283864
06.09.2019;250986
07.09.2019;340030
08.09.2019;282435
09.09.2019;333501
10.09.2019;298795
11.09.2019;273453
12.09.2019;245539
13.09.2019;272486
14.09.2019;328223
15.09.2019;323704
16.09.2019;311304
17.09.2019;304235
18.09.2019;257141
19.09.2019;327064
20.09.2019;307293
21.09.2019;335041
22.09.2019;265884
23.09.2019;350982
24.09.2019;249797
25.09.2019;263130
26.09.2019;302685
27.09.2019;248259
28.09.2019;341296
29.09.2019;336630
30.09.2019;332115
01.10.2019;228486
02.10.2019;266421
03.10.2019;259391
04.10.2019;318225
05.10.2019;253318
06.10.2019;300251
07.10.2019;306680
08.10.2019;247042
09.10.2019;297239
10.10.2019;298245
11.10.2019;257896
12.10.2019;234972
13.10.2019;299626
14.10.2019;228495
15.10.2019;167239
16.10.2019;228423
17.10.2019;242031
18.10.2019;244232
19.10.2019;272348
20.10.2019;277256
21.10.2019;238865
22.10.2019;288835
23.10.2019;241535
24.10.2019;225029
25.10.2019;242886
26.10.2019;241087
27.10.2019;295708
28.10.2019;202702
29.10.2019;189279
30.10.2019;174627
31.10.2019;186288
01.11.2019;252951
02.11.2019;197143
03.11.2019;228429
04.11.2019;63594
05.11.2019;157398
06.11.2019;204553
07.11.2019;173184
08.11.2019;189711
09.11.2019;226526
10.11.2019;216238
11.11.2019;186838
12.11.2019;160543
13.11.2019;227928
14.11.2019;235547
15.11.2019;52989
16.11.2019;58330
17.11.2019;59431
18.11.2019;41475
19.11.2019;19359
20.11.2019;54615
21.11.2019;221850
22.11.2019;267273
23.11.2019;233373
24.11.2019;192497
25.11.2019;239740
26.11.2019;309994
27.11.2019;357947
28.11.2019;316593
29.11.2019;362831
30.11.2019;285481
01.12.2019;357554
02.12.2019;311014
03.12.2019;230111
04.12.2019;327787
05.12.2019;419577
06.12.2019;216661
07.12.2019;530421
08.12.2019;442274
09.12.2019;404510
10.12.2019;316791
11.12.2019;312235
12.12.2019;300008
13.12.2019;381875
14.12.2019;353202
15.12.2019;476101
16.12.2019;222575
17.12.2019;176819
18.12.2019;265509
19.12.2019;327873
20.12.2019;285899
21.12.2019;316216
22.12.2019;312975
23.12.2019;268789
24.12.2019;211129
25.12.2019;222943
26.12.2019;374590
27.12.2019;383625
28.12.2019;351943
29.12.2019;194687
30.12.2019;118468
31.12.2019;10575
01.01.2020;0
02.01.2020;35508
03.01.2020;137083
04.01.2020;418577
05.01.2020;371802
06.01.2020;323474
07.01.2020;286947
08.01.2020;432602
09.01.2020;306608
10.01.2020;288699
11.01.2020;287812
12.01.2020;283616
13.01.2020;196278
14.01.2020;216611
15.01.2020;323022
16.01.2020;374033
17.01.2020;438136
18.01.2020;304743
19.01.2020;306106
20.01.2020;206694
21.01.2020;265784
22.01.2020;394871
23.01.2020;396334
24.01.2020;333297
25.01.2020;393098
26.01.2020;353945
27.01.2020;213455
28.01.2020;232289
29.01.2020;351524
30.01.2020;477664
31.01.2020;358491
01.02.2020;390163
